"","words","value"
"1","abbau",-0.058
"2","abbauen",-0.0578
"3","abbrechen",-0.3482
"4","abbruch",-0.0048
"5","abdämpfen",-0.0048
"6","abdämpfung",-0.0048
"7","abdanken",-0.0048
"8","abdankung",-0.0048
"9","abfall",-0.0048
"10","abfallen",-0.0048
"11","abfällig",-0.3197
"12","abfuhr",-0.3367
"13","abführen",-0.3358
"14","abgebrochen",-0.0048
"15","abgedroschen",-0.1839
"16","abgesichert",0.004
"17","abgestanden",-0.0368
"18","abgetakelt",-0.0048
"19","abgleiten",-0.0397
"20","abgrund",-0.3465
"21","abgründig",-0.1719
"22","abhängig",-0.0048
"23","abhängigkeit",-0.3653
"24","ablaufen",-0.0048
"25","ablehnen",-0.6458
"26","ablehnung",-0.5118
"27","ablenken",-0.042
"28","ablenkung",-0.0435
"29","abmachen",0.004
"30","abmachung",0.004
"31","abnahme",-0.0048
"32","abnehmen",-0.0292
"33","abneigung",-0.0048
"34","abnutzen",-0.0417
"35","abnutzung",-0.0048
"36","abraten",-0.3353
"37","abreißen",-0.3116
"38","abriss",-0.0048
"39","abrupt",-0.0048
"40","abrutsch",-0.0048
"41","abrutschen",-0.0048
"42","abschaffen",-0.0048
"43","abschaffung",-0.058
"44","abschätzig",-0.0048
"45","abschießen",-0.0048
"46","abschließen",0.004
"47","abschluß",0.004
"48","abschrecken",-0.178
"49","abschreckend",-0.049
"50","abschreckung",-0.0048
"51","abschreiben",-0.1847
"52","abschreibung",-0.3345
"53","abschuss",-0.0048
"54","abschuß",-0.0048
"55","abschwächen",-0.0048
"56","abschwächung",-0.1935
"57","absenken",-0.0048
"58","absenkung",-0.3434
"59","absinken",-0.3269
"60","absolut",0.2418
"61","abspalten",-0.3099
"62","abspaltung",-0.0048
"63","absperren",-0.0048
"64","absperrung",-0.0048
"65","absteigen",-0.4776
"66","abstieg",-0.3215
"67","abstimmen",0.004
"68","abstimmung",0.004
"69","abstoß",-0.0048
"70","abstoßen",-0.1796
"71","abstoßend",-0.5859
"72","abstrich",-0.3201
"73","abstumpfen",-0.0048
"74","abstumpfung",-0.0048
"75","absturz",-0.4739
"76","abstürzen",-0.4697
"77","absurd",-0.212
"78","absurdität",-0.0048
"79","abtragen",-0.0048
"80","abwärtstrend",-0.1941
"81","abwechslungsreich",0.5797
"82","abweichen",-0.3422
"83","abweichung",-0.3462
"84","abweisen",-0.0048
"85","abweisung",-0.0048
"86","abwerten",-0.4521
